응답번호,응답시간,설문참여확인,B_혜택점수(10점중),S_만족도점수(10점중),D_거리점수(10점중),B_정규화비율,S_정규화비율,D_정규화비율
1,2026-07-28 16:06:34.648000,네!!,5.0,2.0,3.0,0.5,0.2,0.3
2,2026-07-28 16:07:15.338000,네!!,6.0,2.0,2.0,0.6,0.2,0.2
3,2026-07-28 16:08:14.028000,네!!,4.0,4.0,2.0,0.4,0.4,0.2
4,2026-07-28 16:08:25.281000,,2.0,1.0,7.0,0.2,0.1,0.7
5,2026-07-28 16:08:28.660000,,7.0,2.0,1.0,0.7,0.2,0.1
6,2026-07-28 16:09:57.030000,네!!,8.0,1.0,1.0,0.8,0.1,0.1
7,2026-07-28 16:10:34.596000,네!!,4.0,2.0,4.0,0.4,0.2,0.4
8,2026-07-28 16:11:13.255000,네!!,6.0,2.0,2.0,0.6,0.2,0.2
9,2026-07-28 16:11:31.936000,네!!,4.0,2.0,4.0,0.4,0.2,0.4
10,2026-07-28 16:11:38.149000,네!!,3.0,2.0,5.0,0.3,0.2,0.5
11,2026-07-28 16:11:52.935000,네!!,8.0,1.0,1.0,0.8,0.1,0.1
12,2026-07-28 16:12:11.867000,네!!,7.0,1.0,2.0,0.7,0.1,0.2
13,2026-07-28 16:12:15.772000,네!!,8.0,1.0,1.0,0.8,0.1,0.1
14,2026-07-28 16:12:43.130000,네!!,5.0,4.0,1.0,0.5,0.4,0.1
15,2026-07-28 16:13:04.055000,,7.0,2.0,1.0,0.7,0.2,0.1
16,2026-07-28 16:14:09.980000,네!!,4.0,2.0,4.0,0.4,0.2,0.4
17,2026-07-28 16:14:27.732000,네!!,6.0,2.0,2.0,0.6,0.2,0.2
18,2026-07-28 16:14:31.538000,네!!,6.0,1.0,3.0,0.6,0.1,0.3
19,2026-07-28 16:16:19.500000,네!!,8.0,1.0,1.0,0.8,0.1,0.1
20,2026-07-28 16:18:24.981000,네!!,5.0,3.0,2.0,0.5,0.3,0.2
21,2026-07-28 16:18:29.831000,네!!,5.0,2.0,3.0,0.5,0.2,0.3
22,2026-07-28 16:18:33.031000,네!!,6.0,2.0,2.0,0.6,0.2,0.2
23,2026-07-28 16:18:42.252000,네!!,2.0,1.0,7.0,0.2,0.1,0.7
24,2026-07-28 16:18:51.935000,네!!,4.0,2.0,4.0,0.4,0.2,0.4
25,2026-07-28 16:18:56.866000,네!!,8.0,1.0,1.0,0.8,0.1,0.1
26,2026-07-28 16:19:48.509000,네!!,6.0,2.0,2.0,0.6,0.2,0.2
27,2026-07-28 16:19:50.435000,네!!,3.0,3.0,4.0,0.3,0.3,0.4
28,2026-07-28 16:21:37.135000,,1.0,1.0,8.0,0.1,0.1,0.8
29,2026-07-28 16:24:37.695000,네!!,4.0,4.0,2.0,0.4,0.4,0.2
30,2026-07-28 16:24:59.325000,네!!,5.0,4.0,1.0,0.5,0.4,0.1
31,2026-07-28 16:35:45.527000,네!!,6.0,3.0,1.0,0.6,0.3,0.1
32,2026-07-28 18:25:13.476000,네!!,4.0,1.0,5.0,0.4,0.1,0.5
