가게명,카테고리,주소,위도,경도,제휴대상,혜택,시작일,종료일
경대컵밥,식사류,서울특별시 노원구 광운로 17-13 1층,37.6195987,127.0571465,정책법학대학,[정책법학대학] 서비스 제공: 800원 이하 토핑 무료 추가; 이용 조건: 5000원 이상 현금 결제 및계좌이체; 제휴기간 원문: 1년?,,
고씨네 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 1층,37.6196349,127.0581456,"정책법학대학, 광운대학교","[정책법학대학] 서비스 제공: 치즈스틱, 감자 고로케, 계란후라이 중 1개; 이용 조건: 1인 1메뉴 주문
[광운대학교] 메뉴 하나당 계란후라이, 감자고로케, 치즈스틱, 중 택 1(인융대 학생 1 명 이상)",2026-02-20,2026-12-31
공차 광운대점,카페/디저트,서울특별시 노원구 광운로 20 광운대학교 80주년기념관,37.6193204,127.0583381,정책법학대학,[정책법학대학] 서비스 제공: 타피오카 펄 또는 사이즈업; 이용 조건: 음료 3잔 주문시,,
광운대 친절한 부동산,기타,서울특별시 노원구 광운로10길 3 1층,37.6209355,127.0593342,정책법학대학,[정책법학대학] 할인: 중개료 20% 할인,,2026-12-14
꽃님맥주,주점,서울특별시 노원구 석계로 98-1 2층,37.6233177,127.0611202,전자정보공과대학,[전자정보공과대학] 5% 할인; 결제 조건: 현금; 대상 조건: 전자정보공과대 학생 1명 이상,2026-01-01,2026-12-31
더진국 수육국밥 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 2층,37.6196349,127.0581456,광운대학교,[광운대학교] 1인정식 세트 주문 시 음료수 1캔 서비스; 모든 국밥 당면사리 추가,2026-02-20,2026-12-31
디델리 서울 광운대점,식사류,서울특별시 노원구 광운로 31 1층,37.620548,127.058599,"정책법학대학, 광운대학교","[정책법학대학] 서비스 제공: 음료수 1캔; 이용 조건: 13,000원 이상 주문시
[광운대학교] 13,000원 이상 주문 시 음료수 1개 서비스",2026-02-20,2026-12-31
로스2000,식사류,서울특별시 노원구 광운로 41,37.6212073,127.0589966,광운대학교,"[광운대학교] 3만원 이상 주문 시, 음료 1 캔 or 된장찌개 서비스(첫 주문 한정)",2026-02-20,2026-12-31
리잰헤어,기타,서울특별시 노원구 광운로 56 정암빌딩 1층,37.6223789,127.0597726,광운대학교,"[광운대학교] 남성 다운펌 10,000할인, 여성 시술 20% 할인(컷트.드라이 X, 주말 및 공휴일X, 전화예약필수)",,
맛불,식사류,서울특별시 노원구 광운로 39 1층,37.6210706,127.0589143,광운대학교,[광운대학교] 돼지불백전문 2인 이상 주문 시 당면 사리 제공,2026-02-20,2026-12-31
