스냅샷구분,스냅샷생성시간,restaurant_id,partnership_id,가게명,카테고리,주소,위도,경도,제휴대상,혜택원문,AI혜택분석JSON,혜택기본점수,추가혜택점수,조건감점,최종혜택점수_B,혜택등급,평균별점,리뷰수,베이즈만족도_S,혜택AI전처리시간,만족도전처리시간,제휴시작일,제휴종료일,제휴상태
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,151,276,고씨네 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 1층,37.6196349,127.0581456,인공지능융합대학,"[인공지능융합대학] 메뉴 하나당 계란후라이, 감자고로케, 치즈스틱, 중 택 1(인융대 학생 1 명 이상)","{""benefitType"":""무료제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""계란후라이, 감자고로케, 치즈스틱 중 택 1"",""targetMenu"":""메뉴"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":1,""studentVerification"":true,""conditions"":[""메뉴 하나당"",""인융대 학생 1 명 이상""],""conditionCount"":2,""benefitScore"":65}",20.0,0.0,0.0,20.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,153,278,더진국 수육국밥 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 2층,37.6196349,127.0581456,인공지능융합대학,[인공지능융합대학] 1인정식 세트 주문 시 음료수 1캔 서비스; 모든 국밥 당면사리 추가,"{""benefitType"":""Freebie"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료수 1캔, 당면사리 추가"",""targetMenu"":""1인정식 세트, 모든 국밥"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""1인정식 세트 주문 시""],""conditionCount"":1,""benefitScore"":20}",60.0,5.0,0.0,65.0,은빛밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,154,279,디델리 서울 광운대점,식사류,서울특별시 노원구 광운로 31 1층,37.620548,127.058599,인공지능융합대학,"[인공지능융합대학] 13,000원 이상 주문 시 음료수 1개 서비스","{""benefitType"":""증정"",""discountRate"":null,""discountAmount"":null,""freeItem"":""음료수 1개"",""targetMenu"":null,""minimumOrder"":13000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""인공지능융합대학"",""13,000원 이상 주문 시""],""conditionCount"":2,""benefitScore"":70}",60.0,0.0,10.0,50.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,155,280,맛불,식사류,서울특별시 노원구 광운로 39 1층,37.6210706,127.0589143,인공지능융합대학,[인공지능융합대학] 돼지불백전문 2인 이상 주문 시 당면 사리 제공,"{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""당면 사리"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":2,""studentVerification"":false,""conditions"":[""2인 이상 주문 시""],""conditionCount"":1,""benefitScore"":40}",40.0,0.0,10.0,30.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,156,281,장수국수,식사류,서울특별시 노원구 광운로 27 2층,37.620188,127.058288,인공지능융합대학,[인공지능융합대학] 저녁시간대(16~22시) 방문 시 전 메뉴 대상 혜택으로 보이나 상세 문구 일부 미상,"{""benefitType"":null,""discountRate"":null,""discountAmount"":null,""freeItem"":null,""targetMenu"":""전 메뉴"",""minimumOrder"":null,""availableTime"":""16~22시"",""requiredPeople"":null,""studentVerification"":false,""conditions"":[""인공지능융합대학"",""저녁시간대(16~22시) 방문 시""],""conditionCount"":2,""benefitScore"":10}",20.0,0.0,0.0,20.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,158,283,큰집닭강정 광운대점,식사류,서울특별시 노원구 광운로 54 운봉빌딩,37.622092,127.0594336,인공지능융합대학,"[인공지능융합대학] ① 특대 size 닭강정 주문 시 떡추가/만두 5개 서비스 ② 총액 25,000원 이상 주문 시 사이드 메뉴 중 하나 무료","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""떡추가/만두 5개 또는 사이드 메뉴 중 하나"",""targetMenu"":""특대 size 닭강정"",""minimumOrder"":25000,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""특대 size 닭강정 주문 시"",""총액 25,000원 이상 주문 시""],""conditionCount"":2,""benefitScore"":75}",60.0,0.0,10.0,50.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,159,284,썬더치킨 광운대점,식사류,서울특별시 노원구 광운로 44,37.621354,127.0594848,인공지능융합대학,[인공지능융합대학] ① 포장 주문 한 마리 시 양념소스 1개 서비스 ② 두 마리 이상 주문 시 500ml 콜라/사이다 관련 추가 혜택이나 수량 문구 일부 미상,"{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""양념소스 1개 또는 500ml 콜라/사이다"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""포장 주문 한 마리 시"",""두 마리 이상 주문 시""],""conditionCount"":2,""benefitScore"":30}",40.0,0.0,0.0,40.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,161,286,스트릿츄러스 광운대점,카페/디저트,서울특별시 노원구 광운로 21 동해문화예술관 1층,37.6202512,127.0573526,인공지능융합대학,"[인공지능융합대학] 공식 alliance 게시물 기준으로 점심시간대(12~16시) 대상 혜택 확인, 상세 일부 미상","{""benefitType"":null,""discountRate"":null,""discountAmount"":null,""freeItem"":null,""targetMenu"":null,""minimumOrder"":null,""availableTime"":""12:00~16:00"",""requiredPeople"":null,""studentVerification"":false,""conditions"":[""공식 alliance 게시물 기준"",""점심시간대(12~16시)""],""conditionCount"":2,""benefitScore"":10}",20.0,0.0,0.0,20.0,한톨밥알,3.0,2,79.0535714285714,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,162,287,부리또잇,식사류,서울특별시 노원구 광운로 37 1층,37.6196349,127.0581456,인공지능융합대학,"[인공지능융합대학] 현금/계좌이체 시 1,200원 이하 토핑 1개 무료 추가","{""benefitType"":""freeItem"",""discountRate"":null,""discountAmount"":null,""freeItem"":""1,200원 이하 토핑 1개"",""targetMenu"":null,""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":true,""conditions"":[""현금/계좌이체 시""],""conditionCount"":1,""benefitScore"":20}",40.0,0.0,5.0,35.0,한톨밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
Supabase DB / AI 전처리 완료,2026-07-30T19:37:47,165,290,펍피맥 석계점,주점,서울특별시 성북구 한천로78길 43 1층,37.6125108,127.0643349,인공지능융합대학,"[인공지능융합대학] A~D 세트 메뉴 한정 2,000원 토핑 무료 제공으로 보이며, 후반부 문구 일부 미상","{""benefitType"":""무료제공"",""discountRate"":null,""discountAmount"":null,""freeItem"":""2,000원 토핑"",""targetMenu"":""A~D 세트 메뉴"",""minimumOrder"":null,""availableTime"":null,""requiredPeople"":null,""studentVerification"":false,""conditions"":[""A~D 세트 메뉴 한정""],""conditionCount"":1,""benefitScore"":35}",40.0,0.0,0.0,40.0,고운밥알,0.0,0,82.8642857142857,2026-07-30 09:27:54.177700,2026-07-30 09:27:54.197635,2026-02-20,2026-12-31,active
