id,name,type,parent_id
1,정책법학대학,college,11
2,인공지능융합대학,college,11
3,전자정보공과대학,college,11
5,행정학과,department,1
7,로봇학부,department,2
8,전자공학과,department,3
9,컴퓨터정보공학부,department,2
11,광운대학교,university,
12,전자통신공학과,department,3
13,전자융합공학과,department,3
14,전기공학과,department,3
15,전자재료공학과,department,3
16,반도체시스템공학부,department,3
17,소프트웨어학부,department,2
18,정보융합학부,department,2
19,지능형로봇학과,department,2
20,공과대학,college,11
21,건축학과,department,20
22,건축공학과,department,20
23,화학공학과,department,20
24,환경공학과,department,20
25,자연과학대학,college,11
26,수학과,department,25
27,전자바이오물리학과,department,25
28,화학과,department,25
29,스포츠융합과학과,department,25
31,국어국문학과,department,49
32,영어산업학과,department,49
33,미디어커뮤니케이션학부,department,49
34,산업심리학과,department,49
35,동북아문화산업학부,department,49
36,법학부,department,1
37,국제학부,department,1
38,자산관리학과,department,1
39,경영대학,college,11
40,경영학부,department,39
41,국제통상학부,department,39
42,참빛인재대학,college,11
43,금융부동산법무학과,department,42
44,게임콘텐츠학과,department,42
45,스마트전기전자학과,department,42
46,스포츠상담재활학과,department,42
47,인제니움대학,college,11
48,자율전공학부,department,47
49,인문사회대학,college,11
50,전체,college,11
