id,rule_type,rule_key,label,keywords_json,min_value,max_value,score,enabled,sort_order,created_at
10,benefit_text,representative_free_or_one_plus_one,대표 메뉴 무료·1+1,"[""대표 메뉴 무료"", ""메뉴 무료"", ""1+1"", ""1 + 1""]",,,100,true,10,2026-07-30T11:38:32.786812
11,benefit_text,two_plus_one,2+1~3+1,"[""2+1"", ""3+1"", ""2 + 1"", ""3 + 1""]",,,80,true,20,2026-07-30T11:38:32.786812
12,benefit_text,drink_side_noodle,음료·사이드·라면·감자튀김·무료 이용시간,"[""음료"", ""사이드"", ""라면"", ""감자튀김"", ""무료 이용시간""]",,,60,true,30,2026-07-30T11:38:32.786812
13,benefit_text,topping_side_source_sizeup,토핑·사리·소스·사이즈업·7+1,"[""토핑"", ""사리"", ""소스"", ""사이즈업"", ""7+1"", ""7 + 1""]",,,40,true,40,2026-07-30T11:38:32.786812
14,benefit_text,other_service,기타 소규모 서비스,[],,,20,true,50,2026-07-30T11:38:32.786812
26,bonus,discount_and_service,할인과 서비스 동시 제공,[],,,5,true,10,2026-07-30T11:38:32.786812
27,bonus,additional_service,추가 혜택 여러 개,"[""음료"", ""사이드"", ""라면"", ""감자"", ""토핑"", ""사리"", ""소스"", ""사이즈업"", ""계란"", ""콜라"", ""치즈"", ""만두"", ""떡""]",,,5,true,20,2026-07-30T11:38:32.786812
15,condition,specific_menu,특정 메뉴·세트·상품·제외 메뉴,"[""특정 메뉴"", ""세트만"", ""메뉴 제외"", ""제외 메뉴""]",,,10,true,10,2026-07-30T11:38:32.786812
16,condition,specific_time,특정 시간·요일,"[""특정 시간"", ""특정 요일"", ""평일만"", ""주말만""]",,,10,true,20,2026-07-30T11:38:32.786812
17,condition,minimum_order_text,최소 주문금액 문구,"[""최소 주문"", ""최소금액"", ""최소 금액""]",,,10,true,30,2026-07-30T11:38:32.786812
18,condition,minimum_quantity_or_people,최소 수량·이용시간·방문 인원,"[""최소 주문수량"", ""최소 수량"", ""이용시간"", ""방문 인원""]",,,10,true,40,2026-07-30T11:38:32.786812
19,condition,repeat_visit,재방문 조건,"[""10회"", ""10번"", ""재방문""]",,,10,true,50,2026-07-30T11:38:32.786812
20,condition,cash_transfer,현금·계좌이체,"[""현금"", ""계좌이체""]",,,5,true,60,2026-07-30T11:38:32.786812
21,condition,review_required,리뷰 작성,"[""리뷰 작성"", ""리뷰 필요""]",,,5,true,70,2026-07-30T11:38:32.786812
22,condition,phone_reservation,전화예약,"[""전화예약"", ""전화 예약""]",,,5,true,80,2026-07-30T11:38:32.786812
23,condition,first_order_visit,첫 주문·첫 방문,"[""첫 주문"", ""첫 방문""]",,,5,true,90,2026-07-30T11:38:32.786812
24,condition,takeout_limit,테이크아웃·매장 이용 제한,"[""테이크아웃"", ""포장만"", ""매장 이용 제한""]",,,5,true,100,2026-07-30T11:38:32.786812
25,condition_cap,maximum_penalty,조건 감점 최대치,[],,,20,true,10,2026-07-30T11:38:32.786812
1,discount_rate,rate_20_plus,20% 이상 할인,[],20,,100,true,10,2026-07-30T11:38:32.786812
2,discount_rate,rate_10_to_19,10~19% 할인,[],10,20,80,true,20,2026-07-30T11:38:32.786812
3,discount_rate,rate_5_to_9,5~9% 할인,[],5,10,60,true,30,2026-07-30T11:38:32.786812
4,discount_rate,rate_2_to_4,2~4% 할인,[],2,5,40,true,40,2026-07-30T11:38:32.786812
5,discount_rate,rate_under_2,2% 미만 할인,[],0,2,20,true,50,2026-07-30T11:38:32.786812
6,fixed_discount,amount_2000_plus,"2,000원 이상 할인",[],2000,,80,true,10,2026-07-30T11:38:32.786812
7,fixed_discount,amount_1000_to_1999,"1,000~1,999원 할인",[],1000,2000,60,true,20,2026-07-30T11:38:32.786812
8,fixed_discount,amount_500_to_999,500~999원 할인,[],500,1000,40,true,30,2026-07-30T11:38:32.786812
9,fixed_discount,amount_under_500,500원 미만 할인,[],0,500,20,true,40,2026-07-30T11:38:32.786812
