id,restaurant_id,affiliation_id,benefit_type,benefit_text,benefit_ai_json,discount_rate,fixed_discount,service_item,estimated_cash_value,min_order_amount,min_people,payment_method,application_scope,verification_method,eligibility_description,start_date,end_date,status,source,benefit_base_score,benefit_bonus_score,benefit_condition_penalty,benefit_score_cached,benefit_preprocessed_at,benefit_needs_review,benefit_review_note
276,151,2,service,"[인공지능융합대학] 메뉴 하나당 계란후라이, 감자고로케, 치즈스틱, 중 택 1(인융대 학생 1 명 이상)","{""benefitType"": ""무료제공"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""계란후라이, 감자고로케, 치즈스틱 중 택 1"", ""targetMenu"": ""메뉴"", ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": 1, ""studentVerification"": true, ""conditions"": [""메뉴 하나당"", ""인융대 학생 1 명 이상""], ""conditionCount"": 2, ""benefitScore"": 65, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,"계란후라이, 감자고로케, 치즈스틱 중 택 1",0,0,1,,ALL_GROUP,학생증,메뉴 하나당 / 인융대 학생 1 명 이상,2026-02-20,2026-12-31,active,import,20,0,0,20,2026-07-30T09:27:54.177700,false,
278,153,2,service,[인공지능융합대학] 1인정식 세트 주문 시 음료수 1캔 서비스; 모든 국밥 당면사리 추가,"{""benefitType"": ""Freebie"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""음료수 1캔, 당면사리 추가"", ""targetMenu"": ""1인정식 세트, 모든 국밥"", ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""1인정식 세트 주문 시""], ""conditionCount"": 1, ""benefitScore"": 20, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,"음료수 1캔, 당면사리 추가",0,0,1,,ALL_GROUP,학생증,1인정식 세트 주문 시,2026-02-20,2026-12-31,active,import,60,5,0,65,2026-07-30T09:27:54.177700,false,
279,154,2,service,"[인공지능융합대학] 13,000원 이상 주문 시 음료수 1개 서비스","{""benefitType"": ""증정"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""음료수 1개"", ""targetMenu"": null, ""minimumOrder"": 13000, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""인공지능융합대학"", ""13,000원 이상 주문 시""], ""conditionCount"": 2, ""benefitScore"": 70, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,음료수 1개,0,13000,1,,ALL_GROUP,학생증,"13,000원 이상 주문 시",2026-02-20,2026-12-31,active,import,60,0,10,50,2026-07-30T09:27:54.177700,false,
280,155,2,service,[인공지능융합대학] 돼지불백전문 2인 이상 주문 시 당면 사리 제공,"{""benefitType"": ""freeItem"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""당면 사리"", ""targetMenu"": null, ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": 2, ""studentVerification"": false, ""conditions"": [""2인 이상 주문 시""], ""conditionCount"": 1, ""benefitScore"": 40, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,당면 사리,0,0,2,,ALL_GROUP,학생증,인공지능융합대학 / 2인 이상 주문 시,2026-02-20,2026-12-31,active,import,40,0,10,30,2026-07-30T09:27:54.177700,false,
281,156,2,discount,[인공지능융합대학] 저녁시간대(16~22시) 방문 시 전 메뉴 대상 혜택으로 보이나 상세 문구 일부 미상,"{""benefitType"": null, ""discountRate"": null, ""discountAmount"": null, ""freeItem"": null, ""targetMenu"": ""전 메뉴"", ""minimumOrder"": null, ""availableTime"": ""16~22시"", ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""인공지능융합대학"", ""저녁시간대(16~22시) 방문 시""], ""conditionCount"": 2, ""benefitScore"": 10, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,[인공지능융합대학] 저녁시간대(16~22시) 방문 시 전 메뉴 대상 혜택으로 보이나 상세 문구 일부 미상,0,0,1,,ALL_GROUP,학생증,인공지능융합대학 / 저녁시간대(16~22시) 방문 시,2026-02-20,2026-12-31,active,import,20,0,0,20,2026-07-30T09:27:54.177700,false,
283,158,2,service,"[인공지능융합대학] ① 특대 size 닭강정 주문 시 떡추가/만두 5개 서비스 ② 총액 25,000원 이상 주문 시 사이드 메뉴 중 하나 무료","{""benefitType"": ""freeItem"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""떡추가/만두 5개 또는 사이드 메뉴 중 하나"", ""targetMenu"": ""특대 size 닭강정"", ""minimumOrder"": 25000, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""특대 size 닭강정 주문 시"", ""총액 25,000원 이상 주문 시""], ""conditionCount"": 2, ""benefitScore"": 75, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,떡추가/만두 5개 또는 사이드 메뉴 중 하나,0,25000,1,,ALL_GROUP,학생증,"특대 size 닭강정 주문 시 / 총액 25,000원 이상 주문 시",2026-02-20,2026-12-31,active,import,60,0,10,50,2026-07-30T09:27:54.177700,false,
284,159,2,service,[인공지능융합대학] ① 포장 주문 한 마리 시 양념소스 1개 서비스 ② 두 마리 이상 주문 시 500ml 콜라/사이다 관련 추가 혜택이나 수량 문구 일부 미상,"{""benefitType"": ""freeItem"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""양념소스 1개 또는 500ml 콜라/사이다"", ""targetMenu"": null, ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""포장 주문 한 마리 시"", ""두 마리 이상 주문 시""], ""conditionCount"": 2, ""benefitScore"": 30, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,양념소스 1개 또는 500ml 콜라/사이다,0,0,1,,ALL_GROUP,학생증,포장 주문 한 마리 시 / 두 마리 이상 주문 시,2026-02-20,2026-12-31,active,import,40,0,0,40,2026-07-30T09:27:54.177700,false,
286,161,2,discount,"[인공지능융합대학] 공식 alliance 게시물 기준으로 점심시간대(12~16시) 대상 혜택 확인, 상세 일부 미상","{""benefitType"": null, ""discountRate"": null, ""discountAmount"": null, ""freeItem"": null, ""targetMenu"": null, ""minimumOrder"": null, ""availableTime"": ""12:00~16:00"", ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""공식 alliance 게시물 기준"", ""점심시간대(12~16시)""], ""conditionCount"": 2, ""benefitScore"": 10, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,"[인공지능융합대학] 공식 alliance 게시물 기준으로 점심시간대(12~16시) 대상 혜택 확인, 상세 일부 미상",0,0,1,,ALL_GROUP,학생증,공식 alliance 게시물 기준 / 점심시간대(12~16시),2026-02-20,2026-12-31,active,import,20,0,0,20,2026-07-30T09:27:54.177700,false,
287,162,2,service,"[인공지능융합대학] 현금/계좌이체 시 1,200원 이하 토핑 1개 무료 추가","{""benefitType"": ""freeItem"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""1,200원 이하 토핑 1개"", ""targetMenu"": null, ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": true, ""conditions"": [""현금/계좌이체 시""], ""conditionCount"": 1, ""benefitScore"": 20, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,"1,200원 이하 토핑 1개",0,0,1,,ALL_GROUP,학생증,현금/계좌이체 시,2026-02-20,2026-12-31,active,import,40,0,5,35,2026-07-30T09:27:54.177700,false,
290,165,2,service,"[인공지능융합대학] A~D 세트 메뉴 한정 2,000원 토핑 무료 제공으로 보이며, 후반부 문구 일부 미상","{""benefitType"": ""무료제공"", ""discountRate"": null, ""discountAmount"": null, ""freeItem"": ""2,000원 토핑"", ""targetMenu"": ""A~D 세트 메뉴"", ""minimumOrder"": null, ""availableTime"": null, ""requiredPeople"": null, ""studentVerification"": false, ""conditions"": [""A~D 세트 메뉴 한정""], ""conditionCount"": 1, ""benefitScore"": 35, ""unknownBenefits"": [], ""unknownConditions"": [], ""needsReview"": false}",0,0,"2,000원 토핑",0,0,1,,ALL_GROUP,학생증,A~D 세트 메뉴 한정,2026-02-20,2026-12-31,active,import,40,0,0,40,2026-07-30T09:27:54.177700,false,
