id,name,category,address,latitude,longitude,phone,opening_hours,menu_summary,ai_summary,rating_average,review_count,bayesian_satisfaction_score,status,place_id,place_provider
151,고씨네 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 1층,37.6196349,127.0581456,,,,돈까스카레와 닭튀김카레 등 다양한 토핑과 맵기 조절이 가능한 일본식 카레 전문점입니다.,3.38,8,71.6423092131277,active,,
152,미식성,식사류,서울특별시 노원구 광운로 9 1층,37.6185657,127.0574255,,,,"광운대 인근에 위치한 중식당으로, 얼큰한 국물의 짬뽕과 짜장면, 쫄깃한 찹쌀탕수육이 대표적입니다.",3.83,6,75.5225978647687,active,,
153,더진국 수육국밥 광운대점,식사류,서울특별시 노원구 광운로 37-1 태경빌딩 2층,37.6196349,127.0581456,,,,특허받은 육수를 사용하여 잡내 없이 깔끔하고 깊은 맛의 수육국밥과 순대국밥을 선보이는 국밥 전문점입니다.,3.4,5,72.5841043890866,active,,
154,디델리 서울 광운대점,식사류,서울특별시 노원구 광운로 31 1층,37.620548,127.058599,,,,"새콤달콤한 소스의 라볶이와 참치김밥, 그라탕이 대표적인 퓨전 라볶이 전문점입니다.",4.25,8,79.3756425464611,active,,
155,맛불,식사류,서울특별시 노원구 광운로 39 1층,37.6210706,127.0589143,,,,광운대 인근에 위치한 돼지불고기 전문점으로 돼지불백과 고추장불백이 대표 메뉴입니다.,4,3,76.0585819874076,active,,
156,장수국수,식사류,서울특별시 노원구 광운로 27 2층,37.620188,127.058288,,,,진한 육수의 멸치국수와 새콤달콤한 비빔국수가 대표적인 국수 전문점입니다.,4.29,7,79.3742097550764,active,,
157,여우곱창,식사류,서울특별시 노원구 광운로 68,37.623283,127.060256,,,,특제 소스로 곱창 특유의 냄새를 잡은 쫄깃한 야채곱창과 막창을 맛볼 수 있는 곱창 전문점입니다.,3.46,13,71.6678941667956,active,,
158,큰집닭강정 광운대점,식사류,서울특별시 노원구 광운로 54 운봉빌딩,37.622092,127.0594336,,,,100% 닭다리살을 사용해 주문 즉시 조리하는 바삭하고 다양한 맛의 닭강정 전문점입니다.,3.12,8,69.3311981020166,active,,
159,썬더치킨 광운대점,식사류,서울특별시 노원구 광운로 44,37.621354,127.0594848,,,,바삭한 크리스피 치킨과 다양한 양념 치킨을 맛볼 수 있는 치킨 전문점입니다.,4,3,76.0585819874076,active,,
160,카페 베르데,카페/디저트,서울특별시 노원구 광운로 17-3 1층,37.619338,127.057474,,,,광운대 인근에 위치해 넓은 지하 공간에서 크로플과 커피를 즐기며 스터디하기 좋은 카페입니다.,4.5,10,82.4380782918149,active,,
161,스트릿츄러스 광운대점,카페/디저트,서울특별시 노원구 광운로 21 동해문화예술관 1층,37.6202512,127.0573526,,,,광운대 동해문화예술관 1층에 위치해 갓 튀긴 바삭한 츄러스와 시원한 아츄를 맛볼 수 있는 디저트 카페입니다.,3.38,8,71.6423092131277,active,,
162,부리또잇,식사류,서울특별시 노원구 광운로 37 1층,37.6196349,127.0581456,,,,"서울 노원구 광운로에 위치한 멕시칸 음식점으로, 든든한 한 끼 식사로 즐기기 좋은 다양한 부리또를 선보입니다.",3.5,4,73.4829689883071,active,,
163,별난주점 광운대점,주점,서울특별시 노원구 광운로12길 28 준파크빌 2차,37.6212906,127.0604065,,,,"광운대 인근에 위치한 스몰비어 주점으로, 시원한 크림생맥주와 감자튀김, 과일 막테일 등을 즐길 수 있습니다.",3.6,10,73.4380782918149,active,,
